n,k,mmb_items,ummb_items
6677801,360,15,9
6677801,677,15,9
6679129,9,5,2
6681817,77,10,5
6683849,16,8,4
6684668,9,6,3
6686188,14,8,4
6686838,14,6,3
6687398,8,6,3
6688246,11,6,3
6688970,32,9,4
6689130,105,10,6
6690314,872,14,10
6690314,992,14,10
6691353,214,15,7
6692697,133,13,7
6693733,2,4,2
6695077,421,14,8
6710315,17,8,4
6710880,17,9,4
6711280,169,12,7
6711280,207,12,7
6720082,13,7,3
6721218,14,8,3
6723824,12,7,3
6724682,36,9,4
6725162,19,8,4
6725562,321,14,8
6726650,18,8,4
6728725,12,7,3
6730067,13,6,3
6735231,13,8,3
6735863,17,7,4
6736263,40,10,5
6737001,19,8,4
6737969,393,16,8
6737969,787,18,9
6739002,554,16,8
6739154,60,9,5
6741605,8,7,3
6749285,5,4,2
6750109,14,8,4
6751021,18,8,4
6751413,226,15,8
6752093,11,7,3
6752997,9,7,3
6754062,284,13,9
6754062,566,13,9
6755246,185,13,8
6756612,6,6,3
6757628,998,14,9
6763190,16,6,3
6765582,20,7,4
6766254,11,6,3
6767889,11,7,3
6770683,18,8,4
6776575,16,10,4
6777508,15,7,3
6779236,18,7,3
6779936,8,6,2
6782421,8,7,3
6784245,13,7,3
6784649,171,13,8
6790620,11,6,3
6794234,15,8,4
6794650,15,7,4
6795050,109,12,6
6796066,13,8,3
6797022,462,13,8
6799165,12,7,3
6800693,15,7,3
6801049,205,14,8
6801049,305,14,8
6813009,14,7,3
6814401,15,8,3
6815592,18,7,4
6819445,14,7,3
6819853,40,9,4
6819853,46,11,5
6821872,11,7,3
6823761,19,9,5
6824161,72,10,6
6824161,347,13,8
6825568,15,8,3
6826656,6,6,2
6827056,25,7,5
6827056,104,10,6
6828029,10,7,3
6828629,235,14,7
6828629,427,15,8
6828629,457,15,8
6829665,398,14,8
6829665,734,15,10
6829665,920,15,10
6829665,990,15,10
6829825,2,5,2
6831009,215,13,8
6831009,223,13,8
6831009,260,13,8
6831009,655,14,9
6831009,771,14,9
6831009,909,14,9
6832273,19,9,5
6833401,383,13,8
6833401,562,14,8
6834438,95,13,6
6834438,219,14,7
6835782,195,11,7
6835782,942,15,10
6836825,508,15,8
6838177,557,15,9
6838177,702,15,9
6838177,1174,16,10
6842814,15,9,4
6843214,176,11,7
6843614,95,10,7
6843978,5,5,2
6846453,12,7,3
6849507,19,7,3
6850075,9,6,3
6850475,188,14,8
6851823,17,8,5
6853071,16,8,5
6853720,18,6,4
6856522,21,8,4
6862433,14,8,3
6862833,7,6,2
6863672,13,7,4
6864072,322,13,8
6865024,667,14,9
6865024,705,14,9
6866283,10,5,3
6867635,17,6,3
6868611,343,12,8
6868611,748,15,10
6869803,758,14,9
6869803,957,17,10
6869803,1155,17,10
6871439,13,7,3
6873237,15,7,3
6873813,17,7,3
6874965,12,7,3
6876939,16,8,4
6877339,332,13,8
6878162,439,14,8
6879354,32,10,5
6879354,248,12,7
6879354,429,15,8
6879354,496,15,8
6879354,547,15,8
6879354,549,15,8
6879796,66,11,6
6879796,100,11,6
6879796,145,12,6
6879796,189,14,7
6880556,386,15,9
6880556,460,15,9
6880556,746,15,9
6881740,380,13,8
6881740,1143,16,9
6882183,274,12,8
6882935,350,12,7
6882935,537,13,8
6884135,971,16,10
6884135,1086,16,10
6884135,1119,16,10
6884135,1174,16,10
6885320,265,13,8
6885320,565,15,9
6886528,246,11,8
6886528,284,11,8
6886528,746,13,9
6887714,699,14,9
6888914,321,13,8
6896522,17,8,4
6896922,264,14,7
6896922,292,15,9
6897322,97,11,6
6899370,16,8,4
6902875,8,6,3
6905405,17,9,4
6908036,14,7,3
6909424,17,8,5
6910240,19,9,4
6913052,14,7,4
6913509,15,8,3
6914117,14,8,3
6916167,14,7,4
6917207,16,6,4
6917663,13,8,3
6919128,17,6,4
6919536,168,11,7
6919536,290,11,7
6920421,43,11,6
6920421,178,12,7
6923967,8,8,3
6924567,3,4,1
6925201,121,11,6
6925545,226,12,7
6925929,142,13,7
6927590,1170,15,9
6927910,242,13,7
6929985,1225,15,10
6932373,613,16,9
6932373,1695,17,10
6932373,1723,17,10
6932373,1873,17,10
6933269,3,4,2
6933821,9,7,3
6937157,673,16,10
6937157,810,16,10
6937157,818,16,10
6937157,1608,16,10
6937157,2065,16,10
6938109,9,7,3
6939477,9,7,3
6941739,11,5,3
6946403,20,8,4
6947800,9,6,4
6948392,21,7,4
6954401,19,9,4
6956982,19,6,3
6957366,297,13,7
6957758,135,9,6
6957758,201,12,8
6957758,306,12,8
6958150,97,11,7
6958630,5,4,2
6959016,358,13,8
6959528,11,7,4
6959920,60,10,6
6959920,254,12,7
6960312,317,13,8
6961548,12,5,3
6961940,16,6,3
6961940,82,10,5
6961940,362,13,9
6962468,4,3,1
6962860,68,11,6
6962860,84,11,6
6962860,145,11,6
6962860,267,14,8
6962860,271,14,8
6963420,550,15,8
6963432,530,14,8
6963816,29,7,4
6963816,57,9,6
6963816,115,12,7
6964264,270,13,7
6964264,312,15,8
6964648,105,10,6
6964648,204,12,8
6964648,236,12,8
6964648,312,12,8
6965176,17,7,4
6965568,46,11,5
6965568,66,10,7
6965568,109,10,7
6965568,222,10,7
6965568,270,10,7
6966045,14,8,4
6966437,116,11,6
6966821,269,14,7
6967205,154,11,6
6968229,7,7,3
6968621,373,15,9
6969589,14,7,3
6972382,12,7,3
6972774,125,12,7
6972774,275,12,7
6972774,357,12,7
6973540,7,6,3
6973932,269,14,8
6976473,5,5,2
6977385,6,5,2
6977749,364,15,8
6978173,120,12,6
6978173,225,11,7
6979165,12,7,3
6979549,21,8,4
6979941,164,13,7
6980323,74,10,6
6980323,98,10,6
6980763,439,14,8
6981155,371,14,8
6981547,330,14,8
6981939,390,15,9
6982331,95,10,6
6982331,215,13,8
6983308,6,5,3
6984188,18,8,4
6984588,259,13,8
6985313,13,8,3
6987752,19,7,4
6992178,12,7,3
6993498,14,7,4
6993962,8,5,2
6994346,26,8,4
6994735,143,11,6
6995119,199,13,8
6995119,205,13,8
6995119,289,13,8
6995775,16,10,4
6997969,18,9,5
6998361,313,13,7
6998753,208,11,7
7000038,18,7,3
7000430,235,12,7
7002211,9,6,3
7003587,9,6,3
7003979,169,12,7
7003979,191,12,7
7004502,14,6,3
7005054,18,9,4
7006469,17,8,3
7007125,13,7,3
7007509,369,15,9
7009080,16,7,4
7009536,6,6,2
7010192,11,7,3
7010584,279,13,7
7010976,370,12,8
7011805,12,7,3
7013485,10,6,3
7013485,16,8,4
7014123,5,5,3
7014515,208,12,7
7014907,60,12,6
7014907,274,15,8
7014907,364,15,8
7015291,105,11,6
7015683,121,13,6
7016425,14,8,4
7017673,15,8,4
7018241,13,8,3
7018795,8,5,3
7020491,8,5,3
7023728,7,6,2
7024120,121,13,7
7024520,360,12,8
7025400,12,7,4
7025841,12,7,3
7026689,15,8,3
7027113,11,8,4
7027505,378,14,9
7027880,272,13,8
7027896,230,13,8
7027896,258,13,8
7028296,33,8,4
7028296,226,12,7
7028688,282,13,8
7029384,13,7,4
7029384,15,7,4
7030318,20,7,4
7031590,6,4,2
7031974,334,13,8
7031974,348,13,8
7032358,216,13,7
7032648,178,11,7
7033992,10,7,4
7034592,20,9,4
7035555,11,6,3
7035947,128,12,6
7035947,183,14,7
7035947,315,16,8
7037067,11,5,3
7040593,37,9,5
7041025,394,18,8
7041673,38,9,4
7042474,49,11,6
7042898,178,12,7
7044306,47,9,5
7044916,42,8,5
7045484,40,8,4
7046020,42,11,5
7046452,392,15,9
7048398,45,8,4
7048934,42,10,6
7050431,51,11,5
7050863,121,11,7
7052397,38,8,4
7053693,36,11,5
7054096,16,7,3
7054960,12,7,3
7054960,44,8,5
7055728,39,8,5
7056280,45,9,5
7056707,70,11,7
7059666,50,9,5
7060402,44,8,5
7061002,38,9,4
7061257,149,14,7
7061433,31,9,5
7062065,36,8,5
7062497,306,14,8
7062497,322,14,8
7062497,408,14,8
7062929,5,5,2
7062929,331,12,8
7063361,200,11,7
7063650,223,12,7
7064226,165,13,8
7064650,348,15,8
7065218,72,13,6
7065218,144,12,8
7065218,370,12,8
7065810,219,14,8
7065810,263,14,8
7065810,457,14,8
7066030,28,7,4
7066030,125,10,6
7067046,10,6,3
7067478,243,12,7
7067478,247,12,7
7067478,287,12,7
7067942,23,8,4
7067942,43,10,6
7068728,19,7,4
7068728,39,8,5
7069344,43,9,6
7071533,21,8,4
7071533,45,8,4
7072277,41,10,5
7074816,41,12,5
7076274,49,8,5
7076706,199,12,7
7079038,48,11,5
7079470,93,10,6
7079470,125,11,6
7080756,45,8,5
7081188,364,13,8
7081620,290,13,8
7082372,46,11,5
7082928,43,7,5
7083648,39,12,5
7084072,350,15,8
7084728,44,8,5
7085128,332,14,8
7085616,50,10,6
7086048,224,11,7
7086488,43,9,5
7087416,39,8,5
7087844,237,13,8
7090902,42,9,5
7092376,45,9,5
7092904,37,7,4
7094432,50,9,6
7095207,45,10,6
7095743,44,11,5
7096175,250,11,7
7101764,38,10,5
7103369,50,11,5
7105251,44,10,6
7106411,41,8,4
7106864,38,7,5
7107296,64,9,6
7107296,108,10,7
7108088,41,9,5
7108912,40,7,5
7108997,32,10,4
7110373,38,11,6
7110797,135,12,6
7110797,159,13,8
7110797,221,13,8
7113122,44,10,6
7113562,396,15,9
7113562,432,15,9
7113762,29,9,4
7115450,48,9,5
7115914,41,9,4
7116152,180,11,7
7116856,46,8,5
7117288,42,10,6
7117712,304,12,8
7117712,310,12,8
7118144,91,10,7
7119270,41,10,6
7119710,181,11,7
7120750,49,9,6
7121607,39,8,4
7122039,250,12,7
7122039,277,12,7
7122743,43,8,5
7123191,43,9,5
7124143,38,7,5
7124575,161,11,7
