n,k,mmb_items,ummb_items
9278119,9,7,4
9278119,138,10,6
9278498,8,6,2
9278498,91,10,6
9279018,11,8,4
9280722,6,5,2
9281650,13,7,3
9281874,10,6,2
9283329,7,6,2
9283361,15,8,3
9284033,6,6,2
9284537,9,5,2
9285538,14,8,3
9285970,3,5,2
9286250,7,5,2
9286554,1,2,1
9286554,74,11,5
9286554,128,12,6
9286554,144,12,6
9287234,11,8,3
9287652,251,14,8
9287652,253,14,8
9287748,19,7,3
9288636,6,6,3
9288764,5,6,3
9289204,3,3,1
9289212,3,3,1
9290841,3,5,2
9291049,7,5,2
9293339,3,3,1
9293443,4,6,3
9295935,8,8,3
9296567,2,4,1
9296575,3,4,1
9296983,6,5,2
9297608,5,5,2
9298400,7,6,2
9298496,5,6,2
9299600,6,6,2
9299768,4,4,1
9300136,1,3,1
9300968,2,3,1
9301336,6,5,2
9301608,1,3,1
9301720,7,5,2
9302102,8,6,3
9302302,5,5,2
9302518,1,3,1
9303102,7,7,3
9303414,3,4,2
9304014,6,5,2
9304022,1,3,1
9304510,3,5,2
9305246,4,5,2
9306326,2,3,1
9307265,7,6,2
9307449,1,1,0
9307641,5,5,2
9308017,5,5,2
9309136,5,6,2
9309264,1,3,1
9311360,6,6,2
9311860,1,3,1
9312812,7,5,3
9313556,2,3,1
9313914,3,5,2
9315946,1,2,1
9316475,8,6,3
9317827,3,3,1
9319190,6,4,2
9321188,8,6,3
9321436,4,3,1
9321604,5,6,3
9322204,6,6,3
9322388,6,6,3
9322388,71,10,5
9323838,3,5,2
9324974,2,3,1
9325859,5,6,3
9325987,8,6,3
9326395,7,6,3
9326795,1,2,0
9327963,6,6,3
9328666,4,5,2
9328954,2,2,1
9329090,2,2,1
9329498,4,5,2
9330330,3,5,2
9330468,7,6,3
9330780,4,3,1
9330780,31,9,5
9330780,82,9,5
9330780,104,12,7
9331676,1,3,1
9332060,3,3,1
9332420,1,3,1
9333883,5,6,3
9333883,50,10,5
9334531,5,6,3
9335075,1,2,0
9335233,5,5,2
9335593,2,5,2
9336073,8,5,2
9336753,7,6,2
9336761,5,5,2
9338160,3,4,1
9338480,7,6,2
9339472,7,6,2
9341145,8,5,2
9341489,6,6,2
9341537,5,5,2
9343029,5,4,2
9343245,7,6,3
9343245,63,11,5
9343509,3,4,2
9343821,2,5,2
9344325,6,7,3
9344325,201,12,7
9344325,206,12,7
9344325,271,12,7
9344325,301,12,7
9344557,3,5,2
9344557,178,14,7
9344869,6,7,3
9344869,99,10,6
9344869,167,13,7
9344869,172,13,7
9345621,1,1,0
9346109,8,7,3
9346261,3,4,2
9346917,3,4,2
9347161,4,5,2
9347161,99,13,7
9347457,4,5,2
9347457,77,13,6
9347649,4,5,2
9347977,6,5,2
9348601,4,5,2
9348641,1,1,0
9349049,5,5,2
9349057,5,5,2
9349804,1,3,1
9349804,7,5,3
9350172,4,3,1
9350380,8,5,3
9350380,200,12,7
9350380,208,12,7
9350572,6,5,3
9351084,2,3,1
9351564,1,3,1
9352036,5,6,3
9352204,6,5,3
9352204,139,13,6
9352324,8,6,3
9352644,4,3,1
9352644,72,11,7
9353236,7,6,3
9353348,5,6,3
9353492,5,6,3
9353804,1,3,1
9354044,6,6,3
9354443,7,5,3
9354507,1,2,0
9354915,6,6,3
9354947,4,6,3
9355635,6,6,3
9356459,6,5,3
9357582,4,5,2
9357806,8,6,3
9357806,26,7,4
9358334,6,5,2
9358654,4,5,2
9358654,290,11,7
9358654,298,11,7
9358989,7,6,3
9359405,7,6,3
9359885,8,6,3
9360261,5,4,2
9360365,1,1,0
9360365,13,6,3
9361729,2,5,2
9362001,4,5,2
9362001,81,9,5
9362585,8,5,2
9362769,7,6,2
9362769,100,12,7
9362937,3,5,2
9363641,19,8,4
9364001,6,6,2
9364193,3,5,2
9364321,6,6,2
9364321,29,9,4
9364441,6,5,2
9364609,2,5,2
9366200,5,5,2
9366384,8,6,2
9366856,3,4,1
9367256,8,5,2
9368976,2,3,1
9369328,8,6,2
9369728,2,3,1
9370104,1,3,1
9370520,1,3,1
9370752,1,3,1
9372182,5,4,2
9373185,6,6,2
9373201,7,6,2
9373201,9,6,2
9373201,14,7,3
9373977,1,1,0
9374817,2,5,2
9375313,2,5,2
9376442,7,5,2
9377066,1,2,1
9377194,6,5,2
9377386,8,5,2
9378884,4,3,1
9379396,4,3,1
9379508,5,6,3
9381058,5,5,2
9381986,6,5,2
9383713,1,1,0
9383961,8,5,2
9383961,41,10,5
9384865,3,5,2
9385130,7,5,2
9385130,45,11,6
9385570,8,6,2
9386170,1,2,1
9386938,4,5,2
9387162,4,5,2
9387162,74,11,5
9387725,7,6,3
9387725,290,14,8
9388125,8,7,3
9388301,2,5,2
9388717,1,1,0
9388717,107,11,6
9388765,1,1,0
9389493,8,7,3
9389946,2,2,1
9390114,1,2,1
9390626,4,5,2
9391218,1,2,1
9394066,1,2,1
9394242,8,6,2
9394466,8,6,2
9394708,1,3,1
9396364,4,3,1
9396412,6,6,3
9396836,5,6,3
9396927,8,8,3
9399630,4,5,2
9401014,5,4,2
9401158,1,3,1
9401735,1,2,0
9402015,4,6,2
9402319,6,6,2
9402319,8,7,3
9402319,62,8,5
9402343,4,5,2
9402791,4,5,2
9403287,5,5,2
9403327,3,4,1
9404330,4,5,2
9404522,1,2,1
9404522,183,13,7
9404658,6,5,2
9404762,8,5,2
9404938,8,5,2
9405058,8,6,2
9405210,3,5,2
9406489,6,5,2
9409039,1,2,0
9410719,7,6,2
9411087,2,4,1
9412424,3,4,1
9413464,7,5,2
9413609,3,5,2
9413913,6,5,2
9413961,1,1,0
9415353,3,5,2
9416145,2,5,2
9416193,8,6,2
9416937,7,5,2
9417081,5,5,2
9417081,39,10,5
9417081,55,10,5
9417081,59,11,6
9417313,66,9,6
9417313,159,12,7
9417313,194,12,7
9417633,7,6,2
9417633,82,10,6
9417881,4,5,2
9417881,199,14,8
9418366,8,7,3
9418750,6,5,2
9419142,5,4,2
9420430,1,3,1
9420430,29,7,4
9421811,5,6,3
9421939,4,6,3
9421939,22,9,5
9421939,79,10,6
9422147,3,3,1
9422547,2,3,1
9423154,8,6,2
9424154,8,5,2
9425571,2,3,1
9425763,2,3,1
9426779,3,3,1
9427861,1,1,0
9428037,6,7,3
9428781,6,6,3
9428797,6,7,3
9428997,7,7,3
9428997,125,14,6
9429221,1,1,0
9429709,7,6,3
9429773,2,5,2
9429773,55,11,5
9430738,7,6,2
9430826,2,2,1
9430826,77,11,6
9431442,5,5,2
9431722,5,5,2
9431722,91,11,6
9432732,8,6,3
9432860,5,6,3
9433204,5,6,3
9433468,4,3,1
9433468,88,11,6
9433468,107,11,6
9433884,4,3,1
9437325,5,5,2
9437750,1,3,1
9438638,6,5,2
9439030,7,6,3
9439390,3,5,2
9439726,3,5,2
9440142,8,6,3
9440398,1,3,1
9440734,2,3,1
9441078,5,4,2
9441246,6,5,2
9441246,10,7,3
9441438,4,5,2
9441766,4,4,2
9441766,6,4,2
9441766,100,10,6
9442755,7,6,3
9443083,1,2,0
9443083,251,14,7
9443291,8,6,3
9443291,56,9,5
9443291,147,12,7
9444147,3,3,1
9444529,5,5,2
9444881,6,6,2
9444881,268,14,7
9444881,318,15,8
9444881,328,15,8
9445177,7,5,2
9445177,54,9,5
9445177,147,12,6
9445361,4,5,2
9445361,80,11,6
9445361,150,13,7
9445761,8,6,2
9446057,5,5,2
9446057,214,14,8
9446057,273,14,8
9446193,1,1,0
9446489,8,5,2
9446681,6,5,2
9446681,113,13,6
9447420,2,3,1
9447900,7,6,3
9447900,9,6,3
9448148,4,3,1
9448724,2,3,1
9448916,2,3,1
9448916,4,3,1
9450256,8,6,2
9450456,5,5,2
9450456,189,12,7
9450824,2,3,1
9451440,2,3,1
9452338,2,2,1
9453242,5,5,2
9453802,6,5,2
9454165,1,1,0
9454485,2,4,2
9454485,86,12,6
9454485,273,14,8
9454597,4,4,2
9455445,5,4,2
9455533,1,1,0
9455533,35,8,4
9456157,8,7,3
9456347,32,9,5
9456347,166,11,7
9456355,8,6,3
9456491,5,5,3
9457491,7,6,3
9458619,3,3,1
9459351,4,5,2
9459623,4,5,2
9459623,78,10,6
9459623,143,10,6
9459623,151,10,6
9460263,8,7,4
9460575,3,4,1
9460575,33,8,6
9460575,58,8,6
9460575,92,8,6
9460839,1,2,0
9460839,92,9,6
9460839,248,13,7
9460839,250,13,7
9461149,3,5,2
9461461,2,4,2
9461461,35,10,5
9461565,5,5,2
9461565,68,10,6
9461565,82,10,6
9461701,38,11,5
9462085,1,1,0
9462501,5,4,2
9462845,4,5,2
9463181,7,6,3
9463197,6,7,3
9463815,6,5,2
9464311,8,7,4
9464903,4,5,2
9467366,2,3,1
9467558,7,6,3
9467694,6,5,2
9468038,8,6,3
9468431,1,2,0
9469111,5,5,2
9469231,7,6,2
9470287,4,6,2
9470642,3,5,2
9471066,2,2,1
9471482,4,5,2
9472218,8,5,2
9472306,2,2,1
9472306,44,8,5
9472874,3,5,2
9473116,1,3,1
9473852,5,6,3
9473956,8,6,3
9474732,7,5,3
9474852,3,3,1
9474852,19,7,3
9474852,41,10,6
9475360,6,6,2
9475704,6,5,2
9475880,4,4,1
9476312,4,4,1
9476432,8,6,2
9476432,75,8,5
9476432,80,8,5
9476752,7,6,2
9476824,7,5,2
9477000,6,5,2
9477000,36,8,4
9477120,2,3,1
9478139,5,6,3
9478347,7,5,3
9478763,3,3,1
9479491,2,3,1
9480692,3,3,1
9481380,5,6,3
9481812,4,3,1
9481884,7,6,3
9482609,1,1,0
9482897,4,5,2
9483033,3,5,2
9483953,6,6,2
9485756,7,6,3
9486308,1,3,1
9486380,5,5,3
9486956,4,3,1
9487318,7,6,3
9487510,2,3,1
9487510,48,9,5
9487702,1,3,1
9487926,6,4,2
9487926,49,8,5
9487926,122,12,6
9488086,8,6,3
9488254,2,3,1
9488950,4,4,2
9489350,7,6,3
9489606,2,3,1
9490069,8,7,3
9490237,7,7,3
9491381,8,7,3
9494381,4,5,2
9494514,6,5,2
9495506,2,2,1
9495506,6,5,2
9495594,5,5,2
9496066,5,5,2
9496989,5,5,2
9497357,1,1,0
9497357,75,11,5
9497357,136,13,6
9497829,1,1,0
9498405,4,4,2
9499252,1,3,1
9500836,3,3,1
9503100,6,6,3
9503564,5,5,3
9504476,6,6,3
9504812,5,5,3
9505044,3,3,1
9505044,99,12,6
9505972,2,3,1
9506348,2,3,1
9506348,104,11,6
9506657,5,5,2
9506657,41,9,6
9511524,3,3,1
9511876,4,3,1
9511900,2,3,1
9512676,7,6,3
9513484,1,3,1
9516231,2,4,1
9516439,6,5,2
9516439,181,12,8
9516439,190,12,8
9516439,202,12,8
9516543,6,6,2
9516679,5,5,2
9516927,5,6,2
9516927,69,13,6
9517175,3,4,1
9517511,3,4,1
9517935,1,2,0
9518143,4,6,2
9519632,8,6,2
9520160,5,6,2
9520704,7,6,2
9521942,3,4,2
9521950,5,5,2
9522214,1,3,1
9522678,7,6,3
9523928,6,5,2
9525048,1,3,1
9527215,2,4,1
9527247,6,6,2
9528064,5,6,2
9529160,2,3,1
9529712,5,6,2
9529848,8,5,2
9529848,20,7,4
9530040,4,4,1
9530256,2,3,1
9530256,86,10,6
9530956,5,5,3
9531740,2,3,1
9532028,7,6,3
9532276,5,6,3
9532572,6,6,3
9534497,2,5,2
9534769,3,5,2
9535079,5,5,2
9536639,8,8,3
9536719,6,6,2
9536719,34,8,5
9537359,7,6,2
9539140,4,3,1
9539196,2,3,1
9540212,7,6,3
9540788,7,6,3
9542243,7,6,3
9543323,1,2,0
9543363,5,6,3
9544139,3,3,1
9544811,1,2,0
9545307,2,3,1
9545651,7,6,3
9546299,7,6,3
9546571,1,2,0
9546571,11,5,3
9547230,2,3,1
9547326,4,5,2
9547614,4,5,2
9547846,6,4,2
9547846,38,9,4
9548054,7,6,3
9548054,82,10,5
9548054,88,12,6
9548214,4,4,2
9548910,3,5,2
9549406,3,5,2
9550262,5,4,2
9550982,3,4,2
9551102,2,3,1
9551102,71,13,6
9551102,115,13,6
9551582,4,5,2
9552189,2,5,2
9553461,1,1,0
9553493,1,1,0
9554021,2,4,2
9554964,6,6,3
9555732,3,3,1
9556831,6,6,2
9556839,1,2,0
9557399,8,6,4
9557599,2,4,1
9557751,5,5,2
9558207,6,6,2
9558807,88,12,6
9558807,284,13,9
9558807,334,13,9
9558947,23,8,4
9558947,146,10,6
9558947,170,13,8
9559419,1,2,0
9560099,4,6,3
9560947,1,2,0
9561596,1,3,1
9561756,4,3,1
9563508,4,3,1
9565299,6,6,3
9565523,1,2,0
9566195,8,6,3
9566931,1,2,0
9568035,7,6,3
9568467,4,6,3
9569002,8,5,2
9569106,8,6,2
9569106,34,9,5
9569106,52,9,5
9569802,8,5,2
9570154,1,2,1
9570154,85,10,6
9570434,2,2,1
9571049,7,5,2
9571465,7,5,2
9571529,5,5,2
9571881,1,1,0
9572225,7,6,2
9572225,74,13,6
9572225,184,12,8
9572601,230,13,7
9572601,286,13,8
9573025,8,6,2
9574097,6,6,2
9574753,8,6,2
9575497,1,1,0
9575983,5,6,2
9576423,5,5,2
9576559,1,2,0
9576951,8,7,4
9577111,2,4,1
9577223,6,5,2
9577519,3,4,1
9577519,95,10,6
9579372,1,3,1
9579484,5,6,3
9580252,6,6,3
9580460,28,8,4
9580460,78,11,6
9580652,5,5,3
9580796,6,6,3
9581588,4,3,1
9582092,3,3,1
9582260,2,3,1
9582604,69,11,5
9582612,3,3,1
9582612,15,6,3
9582612,31,9,5
9584083,3,3,1
9584323,6,6,3
9584459,3,3,1
9585115,8,6,3
9585367,5,5,2
9585943,5,5,2
9586055,1,2,0
9586055,29,8,4
9586055,59,10,5
9586983,7,5,2
9587383,5,5,2
9587575,8,7,4
9587575,137,11,7
9587575,153,11,7
9588109,5,5,2
9588229,6,7,3
9588229,22,10,4
9588229,36,10,4
9588229,44,12,5
9588461,46,11,6
9588461,170,12,7
9588701,3,5,2
9588869,5,4,2
9589341,3,5,2
9589461,5,4,2
9591585,4,5,2
9594760,7,5,2
9596120,2,3,1
9597072,7,6,2
9597336,2,3,1
9597880,2,3,1
9599208,5,5,2
9599416,8,5,2
9599416,88,10,6
9601028,7,6,3
9601180,5,6,3
9601180,17,7,4
9602121,2,5,2
9603489,8,6,2
9604677,2,4,2
9605885,5,5,2
9605885,7,7,3
9606205,2,5,2
9611536,2,3,1
9611544,6,5,2
9611856,6,6,2
9612840,1,3,1
9614201,3,5,2
9614361,3,5,2
9614713,2,5,2
9616247,1,2,0
9616279,6,5,2
9616591,6,6,2
9616687,7,6,2
9616687,56,10,6
9617063,1,2,0
9617751,7,5,2
9618087,6,5,2
9618143,3,4,1
9618765,2,5,2
9619533,1,1,0
9620173,5,5,2
9620173,13,6,3
9620461,5,5,2
9620781,1,1,0
9621335,3,4,1
9621607,6,5,2
9621607,257,13,7
9621607,259,13,7
9622055,8,7,4
9622327,5,5,2
9622327,180,11,6
9624069,6,7,3
9625053,6,7,3
9625213,4,5,2
9625389,2,5,2
9625389,46,11,6
9627184,4,4,1
9627456,8,6,2
9628349,5,5,2
9628541,2,5,2
9629093,1,1,0
9629509,4,4,2
9629925,4,4,2
9630333,6,7,3
9630564,4,3,1
9630564,52,9,6
9630564,103,12,7
9630564,111,12,7
9630564,115,12,7
9630932,2,3,1
9630932,90,11,7
9631756,7,5,3
9632228,2,3,1
9632500,8,6,3
9632500,264,13,8
9632500,270,13,8
9632818,73,11,6
9632842,4,5,2
9633090,1,2,1
9633090,5,5,2
9633090,242,11,7
9633466,3,5,2
9633842,3,5,2
9634050,2,2,1
9635605,7,7,3
9636781,3,5,2
9639551,3,4,1
9639599,1,2,0
9640216,1,3,1
9640696,4,4,1
9641264,7,6,2
9641312,7,6,2
9641312,33,8,6
9642454,3,4,2
9642630,2,3,1
9642958,1,3,1
9643158,4,4,2
9643158,12,6,3
9643158,42,9,5
9644550,6,4,2
9644899,1,2,0
9645075,4,6,3
9645075,6,6,3
9645075,52,10,5
9645075,113,12,6
9645347,1,2,0
9645995,4,5,3
9646099,1,2,0
9646787,3,3,1
9647309,6,6,3
9647765,6,7,3
9648245,2,4,2
9648701,4,5,2
9649389,6,6,3
9649960,4,4,1
9650464,2,3,1
9650752,7,6,2
9652098,1,2,1
9652546,2,2,1
9653130,4,5,2
9653346,1,2,1
9655343,4,6,2
9655551,5,6,2
9655551,116,14,6
9656439,6,5,2
9656661,8,7,3
9657445,5,4,2
9657629,3,5,2
9658717,7,7,3
9660103,6,5,2
9660639,5,6,2
9665300,7,6,3
9665540,1,3,1
9666387,5,6,3
9666619,3,3,1
9668059,7,6,3
9668123,7,6,3
9668435,5,6,3
9668517,58,11,6
9668629,2,4,2
9668997,7,7,3
9669333,1,1,0
9669333,51,10,5
9669373,7,7,3
9671520,6,6,2
9672304,6,6,2
9672400,7,6,2
9672400,13,7,3
9673350,4,4,2
9675118,6,5,2
9676271,1,2,0
9676863,5,6,2
9677815,3,4,1
9677895,7,5,2
9677895,47,9,5
9679528,247,13,8
9679528,1124,16,10
9679528,1128,16,10
9679648,4,4,1
9679800,7,5,2
9679800,11,7,4
9679800,13,7,4
9679800,48,8,5
9680008,6,5,2
9680008,93,11,6
9680136,7,5,2
9680737,5,5,2
9680921,5,5,2
9682041,3,5,2
9682930,1,2,1
9683474,8,6,2
9683650,8,6,2
9683650,130,10,7
9684114,6,5,2
9684562,3,5,2
9684786,6,5,2
9684786,20,8,5
9684786,29,8,5
9684786,130,12,6
9684786,132,12,6
9685010,18,7,3
9685217,9,6,2
9685217,30,9,4
9685289,4,5,2
9685289,58,11,6
9685289,62,11,6
9685553,3,5,2
9685553,106,11,6
9685777,1,1,0
9686481,7,6,2
9686641,2,5,2
9686761,6,5,2
9687225,7,5,2
9687241,3,5,2
9687241,13,8,4
9687948,3,3,1
9687980,3,3,1
9688300,4,3,1
9688548,3,3,1
9688548,232,13,8
9688700,2,3,1
9689324,6,5,3
9689516,2,3,1
9689692,5,6,3
9689812,8,6,3
9690626,3,5,2
9690946,1,2,1
9690946,25,10,4
9690946,96,11,7
9690978,7,6,2
9690978,29,9,4
9691482,2,2,1
9692106,8,5,2
9694070,1,3,1
9696828,2,3,1
9697599,5,6,2
9697775,8,7,3
9697991,4,5,2
9698183,7,5,2
9698183,41,10,5
9698527,4,6,2
9698527,65,9,6
9698823,2,4,1
9700648,8,5,2
9700976,6,6,2
9700976,238,11,7
9701184,7,6,2
9701288,6,5,2
9701520,1,3,1
9701520,13,7,3
9701520,21,8,5
9701520,23,8,5
9701616,7,6,2
9702545,1,1,0
9703321,7,5,2
9706427,6,6,3
9706451,3,3,1
9706863,1,2,0
9707095,1,2,0
9707359,7,6,2
9707583,3,4,1
9707583,55,11,5
9707767,2,4,1
9707767,28,9,5
9710079,2,4,1
9710479,4,6,2
9711047,4,5,2
9711698,2,2,1
9712114,5,5,2
9712562,4,5,2
9712866,7,6,2
9712898,7,6,2
9713218,5,5,2
9713218,11,8,3
9713770,2,2,1
9713932,7,5,3
9713932,107,13,6
9715316,7,6,3
9715428,7,6,3
9715692,4,3,1
9716004,8,6,3
9716238,8,6,3
9716238,16,7,4
9716670,6,5,2
9717038,5,5,2
9717238,4,4,2
9717742,8,6,3
9718910,6,5,2
9718926,8,6,3
9719702,3,4,2
9720478,8,7,3
9720478,10,7,3
9720478,18,8,4
9720686,1,3,1
9720686,208,12,7
9721480,8,5,2
9721592,5,5,2
9722488,2,3,1
9723384,6,5,2
9723472,7,6,2
9723832,2,3,1
9724312,7,5,2
9724424,3,4,1
9724584,3,4,1
9724984,6,5,2
9726212,3,3,1
9726300,5,6,3
9726820,2,3,1
9726892,6,5,3
9727612,5,6,3
9727972,4,3,1
9727972,99,10,6
9729382,7,6,3
9729942,3,4,2
9730238,7,7,3
9730768,8,6,2
9732224,2,3,1
9732472,6,5,2
9732472,62,10,6
9733162,7,5,2
9733170,7,6,2
9733322,6,5,2
9733890,8,6,2
9733890,14,8,3
9734194,2,2,1
9734250,8,5,2
9735186,6,5,2
9735226,4,5,2
9736091,3,3,1
9737547,7,5,3
9737796,3,3,1
9739148,1,3,1
9739628,2,3,1
9739980,2,3,1
9740346,8,5,2
9740346,13,8,4
9741066,1,2,1
9741138,7,6,2
9741138,64,9,5
9741138,69,9,5
9742784,7,6,2
9742960,5,6,2
9742960,120,11,7
9743352,6,5,2
9743352,10,7,4
9743552,8,6,2
9743656,7,5,2
9744424,6,5,2
9744464,6,6,2
9745252,7,6,3
9745516,1,3,1
9745516,7,5,3
9745516,249,14,7
9746116,8,6,3
9746180,6,6,3
9747012,8,6,3
9747076,4,3,1
9747986,8,6,2
9748298,1,2,1
9748762,5,5,2
9749937,2,5,2
9749985,3,5,2
9750281,7,5,2
9750281,9,5,2
9754105,2,5,2
9754177,4,5,2
9754909,4,5,2
9754909,8,7,3
9755117,2,5,2
9755285,4,4,2
9755461,3,4,2
9755693,2,5,2
9756021,6,7,3
9756533,8,7,3
9756794,3,5,2
9757714,7,6,2
9757930,8,5,2
9757930,37,8,4
9758514,2,2,1
9758578,4,5,2
9758578,58,10,6
9759090,1,2,1
9759429,7,7,3
9759517,1,1,0
9759965,6,7,3
9760557,1,1,0
9761165,6,6,3
9761495,3,4,1
9761671,7,5,2
9761815,8,6,4
9761967,3,4,1
9762495,2,4,1
9762791,3,4,1
9763487,2,4,1
9763503,8,7,3
9765792,1,3,1
9766000,6,6,2
9766669,7,6,3
9766949,2,4,2
9767405,6,6,3
9768173,6,6,3
9768173,10,6,3
9768381,7,7,3
9768381,53,10,5
9768381,153,10,6
9768557,6,6,3
9770322,3,5,2
9770626,7,6,2
9770626,41,12,5
9770922,4,5,2
9773625,1,1,0
9774329,1,1,0
9774641,4,5,2
9774641,58,11,6
9774881,6,6,2
9775641,6,5,2
9776052,3,3,1
9776396,1,3,1
9776716,2,3,1
9777092,2,3,1
9777260,2,3,1
9778461,2,5,2
9780173,2,5,2
9782348,2,3,1
9783210,4,5,2
9783258,4,5,2
9783618,6,5,2
9784178,3,5,2
9784242,5,5,2
9784906,5,5,2
9785082,3,5,2
9785518,3,5,2
9785782,5,4,2
9785934,2,3,1
9787070,7,7,3
9787294,6,5,2
9787294,133,10,6
9787470,4,5,2
9787820,1,3,1
9787852,3,3,1
9788156,7,6,3
9788316,6,6,3
9790617,1,1,0
9791153,8,6,2
9791705,1,1,0
9791833,7,5,2
9792457,8,5,2
9796484,2,3,1
9798581,5,4,2
9798821,8,7,3
9799557,1,1,0
9800694,6,4,2
9801014,1,3,1
9801014,82,11,6
9801014,116,11,6
9801014,180,12,6
9801190,4,4,2
9801190,28,8,4
9801446,4,4,2
9801446,69,10,6
9802374,5,4,2
9802654,8,7,3
9802654,207,12,8
9803830,8,6,3
9804142,2,3,1
9804142,58,9,6
9805553,1,1,0
9807320,4,4,1
9807624,2,3,1
9811330,1,2,1
9813005,4,5,2
9813453,1,1,0
9813853,8,7,3
9814449,3,5,2
9814601,6,5,2
9814601,53,10,5
9814921,5,5,2
9816249,4,5,2
9816738,7,6,2
9816898,8,6,2
9817074,3,5,2
9817242,3,5,2
9817434,2,2,1
9817674,6,5,2
9817954,4,5,2
9818306,7,6,2
9819661,3,5,2
9821249,6,6,2
9821465,3,5,2
9821465,90,13,6
9822049,8,6,2
9822153,7,5,2
9825170,5,5,2
9826388,2,3,1
9826452,2,3,1
9826972,7,6,3
9827036,5,6,3
9827348,4,3,1
9827356,6,6,3
9827580,1,3,1
9827756,2,3,1
9827756,12,5,3
9827956,7,6,3
9827956,67,10,6
9828108,1,3,1
9828108,33,9,4
9828301,5,5,2
9828485,8,7,3
9828789,8,7,3
9829485,1,1,0
9829805,5,5,2
9829933,4,5,2
9830149,5,4,2
9830149,20,8,3
9830149,24,10,4
9830149,28,10,4
9830397,5,5,2
9830397,51,11,5
9830736,3,4,1
9831528,4,4,1
9832200,1,3,1
9832312,5,5,2
9832704,8,6,2
9833133,3,5,2
9833813,5,4,2
9835571,6,6,3
9836187,7,6,3
9838239,5,6,2
9839311,3,4,1
9839815,3,4,1
9840381,5,5,2
9840797,8,7,3
9841477,6,7,3
9842109,5,5,2
9843569,7,6,2
9844201,5,5,2
9844441,1,1,0
9844441,164,12,7
9845053,1,1,0
9845261,1,1,0
9845821,1,1,0
9846069,2,4,2
9846389,7,7,3
9848634,5,5,2
9853663,7,6,2
9854954,4,5,2
9855858,5,5,2
9857509,5,4,2
9858077,1,1,0
9858973,3,5,2
9859880,6,5,2
9860504,1,3,1
9864921,3,5,2
9868259,8,6,3
9868531,2,3,1
9870320,5,6,2
9870888,1,3,1
9871509,6,7,3
9871573,3,4,2
9872109,3,5,2
9872349,4,5,2
9872573,3,5,2
9872717,2,5,2
9872717,20,8,4
9872941,5,5,2
9874195,8,6,3
9874451,8,6,3
9875019,4,5,3
9875547,4,6,3
9875611,6,6,3
9876922,2,2,1
9877474,6,5,2
9877570,3,5,2
9878915,4,6,3
9879699,4,6,3
9881317,6,7,3
9883952,8,6,2
9884496,6,6,2
9885320,4,4,1
9886023,4,5,2
9886287,4,6,2
9886615,7,5,2
9887223,8,7,4
9887503,2,4,1
9888228,8,6,3
9888252,4,3,1
9888636,6,6,3
9888988,5,6,3
9889588,6,6,3
9890414,5,5,2
9890854,8,6,3
9891894,2,3,1
9893693,2,5,2
9896783,7,6,2
9897730,7,6,2
9898154,1,2,1
9898154,5,5,2
9898466,7,6,2
9899250,3,5,2
9899458,6,5,2
9899602,2,2,1
9899714,4,5,2
9900094,8,7,3
9900622,1,3,1
9901214,5,5,2
9904469,4,4,2
9904803,7,6,3
9905275,4,6,3
9905275,10,6,3
9905635,7,6,3
9905899,6,5,3
9907724,8,5,3
9908356,3,3,1
9914117,8,7,3
9914509,6,6,3
9915037,5,5,2
9915821,8,6,3
9916045,5,5,2
9916574,12,7,3
9916846,8,6,3
9918366,3,5,2
9918510,7,6,3
9919011,3,3,1
9919811,7,6,3
9919819,7,5,3
9922070,4,4,2
9922118,6,4,2
9924824,4,4,1
9924968,4,4,1
9926104,7,5,2
9926978,4,5,2
9927682,1,2,1
9927810,5,5,2
9927810,97,13,6
9927930,4,5,2
9928074,4,5,2
9928186,7,5,2
9929636,2,3,1
9930596,2,3,1
9930748,7,6,3
9933467,1,2,0
9937247,4,6,2
9938662,6,4,2
9938878,6,5,2
9938878,75,9,6
9939126,2,3,1
9940094,4,5,2
9940406,7,6,3
9941172,6,6,3
9941364,3,3,1
9941508,4,3,1
9941884,7,6,3
9942124,5,5,3
9942124,93,10,6
9942124,209,13,7
9942124,235,13,7
9942716,4,3,1
9942976,4,4,1
9942976,34,11,5
9943336,4,4,1
9943336,100,10,6
9943464,2,3,1
9944360,7,5,2
9944576,1,3,1
9944576,66,14,6
9944792,7,5,2
9944792,25,9,5
9945379,1,2,0
9946003,6,6,3
9946491,4,6,3
9946523,4,6,3
9947637,6,7,3
9949165,1,1,0
9949173,5,4,2
9949333,7,7,3
9949485,1,1,0
9949485,48,11,6
9950620,7,6,3
9951116,5,5,3
9951668,7,6,3
9952620,4,3,1
9954508,2,3,1
9956426,7,5,2
9957287,1,2,0
9958247,6,5,2
9958567,8,7,4
9958999,1,2,0
9959135,3,4,1
9960043,3,3,1
9960243,1,2,0
9960243,119,12,6
9960243,133,12,6
9960243,145,12,6
9961315,2,3,1
9961635,2,3,1
9961635,44,10,6
9962999,8,7,4
9969475,7,6,3
9969483,1,2,0
9970163,6,6,3
9970363,2,3,1
9970363,26,8,4
9971495,1,2,0
9971495,35,7,4
9971607,3,4,1
9973271,4,5,2
9973679,1,2,0
9973884,140,11,7
9974004,2,3,1
9974180,2,3,1
9974180,62,10,6
9974292,7,6,3
9974572,5,5,3
9974572,35,8,4
9974708,7,6,3
9974708,19,6,3
9975148,2,3,1
9975380,4,3,1
