k,diff-to-upper-bound
579,1.443359375
580,1.4453125
581,1.447265625
582,1.44921875
583,1.451171875
584,1.453125
585,1.455078125
586,1.45703125
587,1.458984375
588,1.4609375
589,1.462890625
590,1.46484375
591,1.466796875
592,1.46875
593,1.470703125
594,1.47265625
595,1.474609375
596,1.4765625
597,1.478515625
598,1.48046875
599,1.482421875
600,1.484375
601,1.486328125
602,1.48828125
603,1.490234375
604,1.4921875
605,1.494140625
606,1.49609375
607,1.498046875
608,1.5
609,1.501953125
610,1.50390625
611,1.505859375
612,1.5078125
613,1.509765625
614,1.51171875
615,1.513671875
616,1.515625
617,1.517578125
618,1.51953125
619,1.521484375
620,1.5234375
621,1.525390625
622,1.52734375
623,1.529296875
624,1.53125
625,1.533203125
626,1.53515625
627,1.537109375
628,1.5390625
629,1.541015625
630,1.54296875
631,1.544921875
632,1.546875
633,1.548828125
634,1.55078125
635,1.552734375
636,1.5546875
637,1.556640625
638,1.55859375
639,1.560546875
640,1.5615234375
641,1.5625
642,1.5634765625
643,1.564453125
644,1.5654296875
645,1.56640625
646,1.5673828125
647,1.568359375
648,1.5693359375
649,1.5703125
650,1.5712890625
651,1.572265625
652,1.5732421875
653,1.57421875
654,1.5751953125
655,1.576171875
656,1.5771484375
657,1.578125
658,1.5791015625
659,1.580078125
660,1.5810546875
661,1.58203125
662,1.5830078125
663,1.583984375
664,1.5849609375
665,1.5859375
666,1.5869140625
667,1.587890625
668,1.5888671875
669,1.58984375
670,1.5908203125
671,1.591796875
672,1.5927734375
673,1.59375
674,1.5947265625
675,1.595703125
676,1.5966796875
677,1.59765625
678,1.5986328125
679,1.599609375
680,1.6005859375
681,1.6015625
682,1.6025390625
683,1.603515625
684,1.6044921875
685,1.60546875
686,1.6064453125
687,1.607421875
688,1.6083984375
689,1.609375
690,1.6103515625
691,1.611328125
692,1.6123046875
693,1.61328125
694,1.6142578125
695,1.615234375
696,1.6162109375
697,1.6171875
698,1.6181640625
699,1.619140625
700,1.6201171875
701,1.62109375
702,1.6220703125
703,1.623046875
704,1.6240234375
705,1.625
706,1.6259765625
707,1.626953125
708,1.6279296875
709,1.62890625
710,1.6298828125
711,1.630859375
712,1.6318359375
713,1.6328125
714,1.6337890625
715,1.634765625
716,1.6357421875
717,1.63671875
718,1.6376953125
719,1.638671875
720,1.6396484375
721,1.640625
722,1.6416015625
723,1.642578125
724,1.6435546875
725,1.64453125
726,1.6455078125
727,1.646484375
728,1.6474609375
729,1.6484375
730,1.6494140625
731,1.650390625
732,1.6513671875
733,1.65234375
734,1.6533203125
735,1.654296875
736,1.6552734375
737,1.65625
738,1.6572265625
739,1.658203125
740,1.6591796875
741,1.66015625
742,1.6611328125
743,1.662109375
744,1.6630859375
745,1.6640625
746,1.6650390625
747,1.666015625
748,1.6669921875
749,1.66796875
750,1.6689453125
751,1.669921875
752,1.6708984375
753,1.671875
754,1.6728515625
755,1.673828125
756,1.6748046875
757,1.67578125
758,1.6767578125
759,1.677734375
760,1.6787109375
761,1.6796875
762,1.6806640625
763,1.681640625
764,1.6826171875
765,1.68359375
766,1.6845703125
767,1.75
768,1.74951171875
769,1.7490234375
770,1.74853515625
771,1.748046875
772,1.74755859375
773,1.7470703125
774,1.74658203125
775,1.74609375
776,1.74560546875
777,1.7451171875
778,1.74462890625
779,1.744140625
780,1.74365234375
781,1.7431640625
782,1.74267578125
783,1.7421875
784,1.74169921875
785,1.7412109375
786,1.74072265625
787,1.740234375
788,1.73974609375
789,1.7392578125
790,1.73876953125
791,1.73828125
792,1.73779296875
793,1.7373046875
794,1.73681640625
795,1.736328125
796,1.73583984375
797,1.7353515625
798,1.73486328125
799,1.734375
800,1.73388671875
801,1.7333984375
802,1.73291015625
803,1.732421875
804,1.73193359375
805,1.7314453125
806,1.73095703125
807,1.73046875
808,1.72998046875
809,1.7294921875
810,1.72900390625
811,1.728515625
812,1.72802734375
813,1.7275390625
814,1.72705078125
815,1.7265625
816,1.72607421875
817,1.7255859375
818,1.72509765625
819,1.724609375
820,1.72412109375
821,1.7236328125
822,1.72314453125
823,1.72265625
824,1.72216796875
825,1.7216796875
826,1.72119140625
827,1.720703125
828,1.72021484375
829,1.7197265625
830,1.71923828125
831,1.71875
832,1.71826171875
833,1.7177734375
834,1.71728515625
835,1.716796875
836,1.71630859375
837,1.7158203125
838,1.71533203125
839,1.71484375
840,1.71435546875
841,1.7138671875
842,1.71337890625
843,1.712890625
844,1.71240234375
845,1.7119140625
846,1.71142578125
847,1.7109375
848,1.71044921875
849,1.7099609375
850,1.70947265625
851,1.708984375
852,1.70849609375
853,1.7080078125
854,1.70751953125
855,1.70703125
856,1.70654296875
857,1.7060546875
858,1.70556640625
859,1.705078125
860,1.70458984375
861,1.7041015625
862,1.70361328125
863,1.703125
864,1.70263671875
865,1.7021484375
866,1.70166015625
867,1.701171875
868,1.70068359375
869,1.7001953125
870,1.69970703125
871,1.69921875
872,1.69873046875
873,1.6982421875
874,1.69775390625
875,1.697265625
876,1.69677734375
877,1.6962890625
878,1.69580078125
879,1.6953125
880,1.69482421875
881,1.6943359375
882,1.69384765625
883,1.693359375
884,1.69287109375
885,1.6923828125
886,1.69189453125
887,1.69140625
888,1.69091796875
